county,local_area,region_label,gics_sector,gics_industry_group,company_count,director_50_plus_count,director_55_plus_count,director_60_plus_count,director_65_plus_count,director_70_plus_count,source_note,source_url,source_date,approved_by
Dublin,Dublin City Centre,Dublin / Dublin City Centre,Consumer Discretionary,,,,,,,,,,,
Dublin,Dublin City Centre,Dublin / Dublin City Centre,Consumer Staples,,,,,,,,,,,
Dublin,Dublin City Centre,Dublin / Dublin City Centre,Health Care,,,,,,,,,,,
Dublin,Dublin City Centre,Dublin / Dublin City Centre,Information Technology,,,,,,,,,,,
Dublin,Dublin City Centre,Dublin / Dublin City Centre,Financials,,,,,,,,,,,
Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Consumer Discretionary,,,,,,,,,,,
Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Consumer Staples,,,,,,,,,,,
Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Health Care,,,,,,,,,,,
Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Information Technology,,,,,,,,,,,
Dublin,Dublin 2 / Docklands,Dublin / Dublin 2 / Docklands,Financials,,,,,,,,,,,
Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Consumer Discretionary,,,,,,,,,,,
Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Consumer Staples,,,,,,,,,,,
Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Health Care,,,,,,,,,,,
Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Information Technology,,,,,,,,,,,
Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Financials,,,,,,,,,,,
Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Consumer Discretionary,,,,,,,,,,,
Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Consumer Staples,,,,,,,,,,,
Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Health Care,,,,,,,,,,,
Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Information Technology,,,,,,,,,,,
Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Financials,,,,,,,,,,,
Dublin,Dublin 8 / Liberties,Dublin / Dublin 8 / Liberties,Consumer Discretionary,,,,,,,,,,,
Dublin,Dublin 8 / Liberties,Dublin / Dublin 8 / Liberties,Consumer Staples,,,,,,,,,,,
Dublin,Dublin 8 / Liberties,Dublin / Dublin 8 / Liberties,Health Care,,,,,,,,,,,
Dublin,Dublin 8 / Liberties,Dublin / Dublin 8 / Liberties,Information Technology,,,,,,,,,,,
Dublin,Dublin 8 / Liberties,Dublin / Dublin 8 / Liberties,Financials,,,,,,,,,,,
Dublin,Swords / North County,Dublin / Swords / North County,Consumer Discretionary,,,,,,,,,,,
Dublin,Swords / North County,Dublin / Swords / North County,Consumer Staples,,,,,,,,,,,
Dublin,Swords / North County,Dublin / Swords / North County,Health Care,,,,,,,,,,,
Dublin,Swords / North County,Dublin / Swords / North County,Information Technology,,,,,,,,,,,
Dublin,Swords / North County,Dublin / Swords / North County,Financials,,,,,,,,,,,
Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Consumer Discretionary,,,,,,,,,,,
Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Consumer Staples,,,,,,,,,,,
Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Health Care,,,,,,,,,,,
Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Information Technology,,,,,,,,,,,
Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Financials,,,,,,,,,,,
Dublin,Tallaght / South West,Dublin / Tallaght / South West,Consumer Discretionary,,,,,,,,,,,
Dublin,Tallaght / South West,Dublin / Tallaght / South West,Consumer Staples,,,,,,,,,,,
Dublin,Tallaght / South West,Dublin / Tallaght / South West,Health Care,,,,,,,,,,,
Dublin,Tallaght / South West,Dublin / Tallaght / South West,Information Technology,,,,,,,,,,,
Dublin,Tallaght / South West,Dublin / Tallaght / South West,Financials,,,,,,,,,,,
Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Consumer Discretionary,,,,,,,,,,,
Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Consumer Staples,,,,,,,,,,,
Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Health Care,,,,,,,,,,,
Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Information Technology,,,,,,,,,,,
Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Financials,,,,,,,,,,,
